T(K),Cp_Thiswork
3921.0,32.98165006459935
3922.0,32.98246351200064
3923.0,32.98327643958245
3924.0,32.98408885648603
3925.0,32.984900753414884
3926.0,32.98571213643315
3927.0,32.98652300546288
3928.0,32.987333357351716
3929.0,32.98814319509736
3930.0,32.98895251554891
3931.0,32.98976132170318
3932.0,32.99056961040924
3933.0,32.99137738159267
3934.0,32.992184638247565
3935.0,32.9929913802963
3936.0,32.993797604597816
3937.0,32.99460331414167
3938.0,32.995408505787594
3939.0,32.996213179461535
3940.0,32.997017338156425
3941.0,32.99782098179524
3942.0,32.99862410724362
3943.0,32.99942671442524
3944.0,33.00022880633291
3945.0,33.00103038289415
3946.0,33.001831440975536
3947.0,33.00263198050298
3948.0,33.00343200446951
3949.0,33.00423151280159
3950.0,33.00503050236848
3951.0,33.00582897309578
3952.0,33.00662692798253
3953.0,33.00742436695509
3954.0,33.00822128688071
3955.0,33.00901768769414
3956.0,33.00981357238415
3957.0,33.01060894088555
3958.0,33.011403790065934
3959.0,33.01219811986073
3960.0,33.01299193326154
3961.0,33.01378523019833
3962.0,33.01457800754806
3963.0,33.01537026524632
3964.0,33.016162006283984
3965.0,33.01695323059335
3966.0,33.01774393505043
3967.0,33.01853411959244
3968.0,33.01932378721024
3969.0,33.02011293784148
3970.0,33.020901568359406
3971.0,33.021689681764016
3972.0,33.02247727492955
3973.0,33.02326434779661
3974.0,33.02405090335794
3975.0,33.024836941548394
3976.0,33.025622459250265
3977.0,33.026407459455896
3978.0,33.02719193905347
3979.0,33.02797590103066
3980.0,33.02875934227541
3981.0,33.029542265779
3982.0,33.030324668426886
3983.0,33.03110655321405
3984.0,33.03188791702662
3985.0,33.032668762858734
3986.0,33.03344908759885
3987.0,33.0342288942364
3988.0,33.035008179665915
3989.0,33.035786946878076
3990.0,33.03656519581226
3991.0,33.03734292336311
3992.0,33.03812012947486
3993.0,33.038896817134486
3994.0,33.03967298629062
3995.0,33.04044863383503
3996.0,33.041223759716175
3997.0,33.041998366915436
3998.0,33.042772455389624
3999.0,33.04354602202816
4000.0,33.04431906982533
4001.0,33.045091595680695
4002.0,33.04586360258236
4003.0,33.04663508743509
4004.0,33.04740605322675
4005.0,33.04817649686247
4006.0,33.04894642132768
4007.0,33.04971582353242
4008.0,33.0504847064654
4009.0,33.0512530700702
4010.0,33.052020911257884
4011.0,33.05278822997301
4012.0,33.05355502920445
4013.0,33.054321308905855
4014.0,33.055087065984175
4015.0,33.05585230038183
4016.0,33.0566170150996
4017.0,33.05738121008167
4018.0,33.05814488223706
4019.0,33.05890803456001
4020.0,33.059670667001356
4021.0,33.060432773428204
4022.0,33.061194362916055
4023.0,33.06195542933286
4024.0,33.062715972633434
4025.0,33.06347599581035
4026.0,33.06423549881323
4027.0,33.06499447855604
4028.0,33.06575293803585
4029.0,33.06651087416205
4030.0,33.067268289931036
4031.0,33.06802518225572
4032.0,33.068781554127106
4033.0,33.069537402466
4034.0,33.070292730261215
4035.0,33.07104753746983
4036.0,33.071801821010396
4037.0,33.072555580836465
4038.0,33.07330881994313
4039.0,33.074061538287175
4040.0,33.074813732789664
4041.0,33.07556540643892
4042.0,33.07631655615878
4043.0,33.0770671849426
4044.0,33.07781728971584
4045.0,33.078566873463714
4046.0,33.07931593615162
4047.0,33.08006447469948
4048.0,33.080812489069004
4049.0,33.08155998528418
4050.0,33.08230695421034
4051.0,33.08305340489554
4052.0,33.08379933124344
4053.0,33.08454473321276
4054.0,33.08528961379076
4055.0,33.086033969912926
4056.0,33.08677780456818
4057.0,33.087521117719454
