FaceID,X,Y,Z,Pressure
6151,0.114165334065755,0.0992980016072591,0.169340398152669,4874.058594
6152,0.113832667032878,0.0995320002237956,0.160440404256185,4902.035645
6153,0.114165334065755,0.0992980016072591,0.163007736206055,4876.651367
6154,0.113832667032878,0.0995320002237956,0.154072402954102,4911.371094
6155,0.114165334065755,0.0992980016072591,0.156672403971354,4878.070801
6156,0.113832667032878,0.0995320002237956,0.147707066853841,4865.59082
6157,0.114165334065755,0.0992980016072591,0.150339731852214,4880.73291
6158,0.113832667032878,0.0995320002237956,0.141340398152669,4867.764648
6159,0.114165334065755,0.0992980016072591,0.144007064819336,4883.989258
6160,0.113832667032878,0.0995320002237956,0.13497373453776,4868.86084
6161,0.114165334065755,0.0992980016072591,0.137673731486003,4885.616699
6162,0.113832667032878,0.0995320002237956,0.128605735778809,4884.000977
6163,0.114165334065755,0.0992980016072591,0.131339736938477,4883.642578
6164,0.113832667032878,0.0995320002237956,0.122238400777181,4885.53125
6165,0.114165334065755,0.0992980016072591,0.1250050684611,4874.98877
6166,0.113832667032878,0.0995320002237956,0.115871732076009,4858.927734
6167,0.114165334065755,0.0992980016072591,0.118671732584635,4852.942871
6168,0.113832667032878,0.0995320002237956,0.109505732218424,4853.339355
6169,0.114165334065755,0.0992980016072591,0.112339065551758,4845.863281
6170,0.113832667032878,0.0995320002237956,0.10313973236084,4850.255371
6171,0.114165334065755,0.0992980016072591,0.10600639851888,4855.376465
6172,0.113832667032878,0.0995320002237956,0.096773068745931,4825.999512
6173,0.114165334065755,0.0992980016072591,0.0996730677286784,4849.023926
6174,0.113832667032878,0.0995320002237956,0.0904057337443034,4777.961426
6175,0.114165334065755,0.0992980016072591,0.0933390680948893,4804.919922
6176,0.113832667032878,0.0995320002237956,0.0840383987426758,4771.35791
6177,0.114165334065755,0.0992980016072591,0.0870050659179687,4793.408203
6178,0.113832667032878,0.0995320002237956,0.0776710637410482,4814.652344
6179,0.114165334065755,0.0992980016072591,0.0806710637410482,4825.464355
6180,0.113832667032878,0.0995320002237956,0.0713057352701823,4863.908203
6181,0.114165334065755,0.0992980016072591,0.0743383992513021,4840.76416
6182,0.113832667032878,0.0995320002237956,0.0649384028116862,4887.262695
6183,0.114165334065755,0.0992980016072591,0.0680057373046875,4782.150391
6184,0.113832667032878,0.0995320002237956,0.0585710703531901,4961.941895
6185,0.114165334065755,0.0992980016072591,0.0616717363993327,4809.249512
6186,0.113832667032878,0.0995320002237956,0.0522037340799967,5000.116699
6187,0.114165334065755,0.0992980016072591,0.0553377367655436,4973.967773
6188,0.113832667032878,0.0995320002237956,0.0458363990783691,4934.38916
6189,0.114165334065755,0.0992980016072591,0.0490037320454915,5059.306641
6190,0.113832667032878,0.0995320002237956,0.039470401763916,4897.183594
6191,0.114165334065755,0.0992980016072591,0.0426697324117025,4913.40332
6192,0.113832667032878,0.0995320002237956,0.0331043993631999,5742.013184
6193,0.114165334065755,0.0992980016072591,0.0363370653788249,4940.364746
6194,0.113832667032878,0.0995320002237956,0.0267375984191895,8310.411133
6195,0.114165334065755,0.0992980016072591,0.0300043983459473,5750.134277
6196,0.114165334065755,0.0992980016072591,0.0236701342264811,13283.11621
6197,0.114832000732422,0.0988473358154297,0.245342000325521,4907.533691
6198,0.115166000366211,0.0986306686401367,0.243276000976562,4901.274414
6199,0.114832000732422,0.0988473358154297,0.237008661905924,4894.738281
6200,0.115166000366211,0.0986306686401367,0.239142664591471,4906.364258
6201,0.114832000732422,0.0988473358154297,0.230743326822917,4887.671875
6202,0.115166000366211,0.0986306686401367,0.232909327189128,4893.243164
6203,0.114832000732422,0.0988473358154297,0.224476262410482,4880.183105
6204,0.115166000366211,0.0986306686401367,0.226676793416341,4885.970215
6205,0.114832000732422,0.0988473358154297,0.218209065755208,4873.637207
6206,0.115166000366211,0.0986306686401367,0.220442398071289,4879.86084
6207,0.114832000732422,0.0988473358154297,0.211942398071289,4868.45166
6208,0.115166000366211,0.0986306686401367,0.214209065755208,4875.108398
6209,0.114832000732422,0.0988473358154297,0.205675059000651,4881.279785
6210,0.115166000366211,0.0986306686401367,0.207975728352865,4871.142578
6211,0.114832000732422,0.0988473358154297,0.19940705871582,4879.826172
6212,0.115166000366211,0.0986306686401367,0.201741058349609,4868.656738
6213,0.114832000732422,0.0988473358154297,0.193141728719076,4880.585938
6214,0.115166000366211,0.0986306686401367,0.195507726033529,4868.754883
6215,0.114832000732422,0.0988473358154297,0.186875066121419,4883.751465
6216,0.115166000366211,0.0986306686401367,0.189275065104167,4871.355957
6217,0.114832000732422,0.0988473358154297,0.180609064737956,4890.16748
6218,0.115166000366211,0.0986306686401367,0.183041732788086,4876.001953
6219,0.114832000732422,0.0988473358154297,0.174341064453125,4900.627441
6220,0.115166000366211,0.0986306686401367,0.176808400472005,4883.126465
6221,0.114832000732422,0.0988473358154297,0.168074401855469,4916.920898
6222,0.115166000366211,0.0986306686401367,0.170574401855469,4892.351074
6223,0.114832000732422,0.0988473358154297,0.161807067871094,4936.54541
6224,0.115166000366211,0.0986306686401367,0.164341069539388,4904.401855
6225,0.114832000732422,0.0988473358154297,0.155539733886719,4911.371094
6226,0.115166000366211,0.0986306686401367,0.158107065836589,4917.92334
6227,0.114832000732422,0.0988473358154297,0.149273066202799,4914.251465
6228,0.115166000366211,0.0986306686401367,0.151873067220052,4926.826172
6229,0.114832000732422,0.0988473358154297,0.143007064819336,4910.398926
6230,0.115166000366211,0.0986306686401367,0.145640401204427,4924.985352
6231,0.114832000732422,0.0988473358154297,0.136739730834961,4899.84082
6232,0.115166000366211,0.0986306686401367,0.139406397501628,4912.885742
6233,0.114832000732422,0.0988473358154297,0.130473068237305,4868.724609
6234,0.115166000366211,0.0986306686401367,0.133173065185547,4888.670898
6235,0.114832000732422,0.0988473358154297,0.124205067952474,4832.755371
6236,0.115166000366211,0.0986306686401367,0.12693906656901,4850.744629
6237,0.114832000732422,0.0988473358154297,0.11793906656901,4827.368164
6238,0.115166000366211,0.0986306686401367,0.12070573425293,4823.834961
6239,0.114832000732422,0.0988473358154297,0.111672398885091,4841.900879
6240,0.115166000366211,0.0986306686401367,0.114472399393717,4824.700684
6241,0.114832000732422,0.0988473358154297,0.105407066345215,4843.297363
6242,0.115166000366211,0.0986306686401367,0.108239733378092,4830.134277
6243,0.114832000732422,0.0988473358154297,0.0991390660603841,4828.892578
6244,0.115166000366211,0.0986306686401367,0.10200639851888,4819.497559
6245,0.114832000732422,0.0988473358154297,0.0928724009195964,4836.377441
6246,0.115166000366211,0.0986306686401367,0.0957723999023437,4839.075195
6247,0.114832000732422,0.0988473358154297,0.0866050669352214,4883.372559
6248,0.115166000366211,0.0986306686401367,0.089539067586263,4877.542969
6249,0.114832000732422,0.0988473358154297,0.0803377304077148,4879.800781
6250,0.115166000366211,0.0986306686401367,0.083305066426595,4910.856934
6251,0.114832000732422,0.0988473358154297,0.0740717341105143,4769.406738
6252,0.115166000366211,0.0986306686401367,0.0770710652669271,4843.885254
6253,0.114832000732422,0.0988473358154297,0.0678057352701823,4701.837891
6254,0.115166000366211,0.0986306686401367,0.0708390680948893,4740.400391
6255,0.114832000732422,0.0988473358154297,0.0615377362569173,4757.239746
6256,0.115166000366211,0.0986306686401367,0.0646044006347656,4702.681152
6257,0.114832000732422,0.0988473358154297,0.0552717374165853,4939.297363
6258,0.115166000366211,0.0986306686401367,0.0583710708618164,4753.869141
6259,0.114832000732422,0.0988473358154297,0.0490037320454915,5041.919922
6260,0.115166000366211,0.0986306686401367,0.0521377347310384,4868.686035
6261,0.114832000732422,0.0988473358154297,0.0427370643615723,4994.482422
6262,0.115166000366211,0.0986306686401367,0.0459037310282389,5001.972656
6263,0.114832000732422,0.0988473358154297,0.0364697303771973,4940.364746
6264,0.115166000366211,0.0986306686401367,0.0396703987121582,5211.453125
6265,0.114832000732422,0.0988473358154297,0.0302044003804525,5750.134277
6266,0.115166000366211,0.0986306686401367,0.0334370663960775,5274.726562
6267,0.114832000732422,0.0988473358154297,0.0239369341532389,9531.114258
6268,0.115166000366211,0.0986306686401367,0.0272044003804525,5811.172363
6269,0.115166000366211,0.0986306686401367,0.0209694658915202,12530.37207
6270,0.115832667032878,0.09821400197347,0.245376001993815,4913.831543
6271,0.116165334065755,0.0980140024820964,0.243342666625977,4907.608398
6272,0.115832667032878,0.09821400197347,0.237175994873047,4899.938965
6273,0.116165334065755,0.0980140024820964,0.239275995890299,4912.318359
6274,0.115832667032878,0.09821400197347,0.23100932820638,4894.046387
6275,0.116165334065755,0.0980140024820964,0.233141993204753,4899.69873
6276,0.115832667032878,0.09821400197347,0.224842259724935,4890.405273
6277,0.116165334065755,0.0980140024820964,0.227008794148763,4895.210449
6278,0.115832667032878,0.09821400197347,0.218675064086914,4887.516113
6279,0.116165334065755,0.0980140024820964,0.220874394734701,4892.695801
6280,0.115832667032878,0.09821400197347,0.212508397420247,4884.314453
6281,0.116165334065755,0.0980140024820964,0.214741063435872,4890.925293
6282,0.115832667032878,0.09821400197347,0.206342397054036,4901.427734
6283,0.116165334065755,0.0980140024820964,0.2086083984375,4888.820312
6284,0.115832667032878,0.09821400197347,0.200175059000651,4900.805176
6285,0.116165334065755,0.0980140024820964,0.202475728352865,4886.776367
6286,0.115832667032878,0.09821400197347,0.194008392333984,4900.569336
6287,0.116165334065755,0.0980140024820964,0.196341725667318,4885.885254
6288,0.115832667032878,0.09821400197347,0.187841730753581,4902.520996
6289,0.116165334065755,0.0980140024820964,0.190209060668945,4886.862793
6290,0.115832667032878,0.09821400197347,0.181674397786458,4908.103027
6291,0.116165334065755,0.0980140024820964,0.184074396769206,4890.444336
6292,0.115832667032878,0.09821400197347,0.175507736206055,4919.396973
6293,0.116165334065755,0.0980140024820964,0.177941065470378,4897.956055
