FaceID,X,Y,Z,Heat Flux
8618,0.143166000366211,0.100264666239421,0.113805732727051,-1800450.92265324
8619,0.142832000732422,0.100015332539876,0.103772399902344,-1875625.389329
8620,0.143166000366211,0.100264666239421,0.107339065551758,-1794351.97826987
8621,0.142832000732422,0.100015332539876,0.0973404006958008,-1866984.97617939
8622,0.143166000366211,0.100264666239421,0.100873067220052,-1799425.95826368
8623,0.142832000732422,0.100015332539876,0.0909057337443034,-1852019.07182433
8624,0.143166000366211,0.100264666239421,0.0944064000447591,-1791984.73238162
8625,0.142832000732422,0.100015332539876,0.0844717330932617,-1867130.73717698
8626,0.143166000366211,0.100264666239421,0.0879384002685547,-1784497.14201157
8627,0.142832000732422,0.100015332539876,0.0780383987426758,-1862765.0543486
8628,0.143166000366211,0.100264666239421,0.0814717330932617,-1768401.26741939
8629,0.142832000732422,0.100015332539876,0.0716050669352214,-1827467.53577552
8630,0.143166000366211,0.100264666239421,0.0750050659179688,-1763575.78444817
8631,0.142832000732422,0.100015332539876,0.0651717351277669,-1784147.3568583
8632,0.143166000366211,0.100264666239421,0.0685384012858073,-1757200.89134963
8633,0.142832000732422,0.100015332539876,0.0587377370198568,-1787033.03111278
8634,0.143166000366211,0.100264666239421,0.0620717353820801,-1747414.83186815
8635,0.142832000732422,0.100015332539876,0.0523037350972494,-1815028.56602035
8636,0.143166000366211,0.100264666239421,0.0556044044494629,-1736184.77699339
8637,0.142832000732422,0.100015332539876,0.0458697344462077,-1795854.65037173
8638,0.143166000366211,0.100264666239421,0.0491370684305827,-1712071.97060866
8639,0.142832000732422,0.100015332539876,0.0394370714823405,-1729881.29385465
8640,0.143166000366211,0.100264666239421,0.0426697374979655,-1669321.90178861
8641,0.142832000732422,0.100015332539876,0.0330044034322103,-1585954.18883838
8642,0.143166000366211,0.100264666239421,0.0362037391662598,-1581143.77187595
8643,0.142832000732422,0.100015332539876,0.0265702654520671,-31883.5453815035
8644,0.143166000366211,0.100264666239421,0.0297370694478353,-1155087.26992041
8645,0.143833333333333,0.100780667622884,0.245276000976562,-1841433.63242105
8646,0.143833333333333,0.100780667622884,0.238742665608724,-1842426.33390525
8647,0.144166666666667,0.101047335306803,0.243075998942057,-1818364.06735548
8648,0.143833333333333,0.100780667622884,0.232207997639974,-1843208.10893798
8649,0.144166666666667,0.101047335306803,0.236508661905924,-1819126.28612828
8650,0.143833333333333,0.100780667622884,0.225674133300781,-1843314.07483302
8651,0.144166666666667,0.101047335306803,0.229940663655599,-1819576.29683207
8652,0.143833333333333,0.100780667622884,0.219141728719076,-1842826.49039453
8653,0.144166666666667,0.101047335306803,0.223374928792318,-1819260.31243234
8654,0.143833333333333,0.100780667622884,0.2126083984375,-1842024.75820623
8655,0.144166666666667,0.101047335306803,0.216808395385742,-1890046.58250857
8656,0.143833333333333,0.100780667622884,0.206075063069661,-1841325.05942251
8657,0.144166666666667,0.101047335306803,0.210242396036784,-1890495.75859396
8658,0.143833333333333,0.100780667622884,0.199541732788086,-1841184.26215855
8659,0.144166666666667,0.101047335306803,0.203675064086914,-1891011.99585059
8660,0.143833333333333,0.100780667622884,0.193007731119792,-1841242.73479083
8661,0.144166666666667,0.101047335306803,0.1971083984375,-1890784.20730073
8662,0.143833333333333,0.100780667622884,0.186474395751953,-1841129.17296818
8663,0.144166666666667,0.101047335306803,0.190540395100911,-1889836.84493335
8664,0.143833333333333,0.100780667622884,0.179941065470378,-1840981.62468554
8665,0.144166666666667,0.101047335306803,0.183974395751953,-1888509.31487286
8666,0.143833333333333,0.100780667622884,0.173407730102539,-1840849.03112702
8667,0.144166666666667,0.101047335306803,0.177407063802083,-1887145.22725282
8668,0.143833333333333,0.100780667622884,0.166873733520508,-1840969.79191737
8669,0.144166666666667,0.101047335306803,0.170840398152669,-1886204.49147149
8670,0.143833333333333,0.100780667622884,0.160341730753581,-1841064.8247486
8671,0.144166666666667,0.101047335306803,0.164273732503255,-1885606.53290933
8672,0.143833333333333,0.100780667622884,0.153807734171549,-1840576.19815937
8673,0.144166666666667,0.101047335306803,0.157708399454753,-1885016.71117349
8674,0.143833333333333,0.100780667622884,0.147273066202799,-1839973.85571083
8675,0.144166666666667,0.101047335306803,0.151140401204427,-1884188.88727455
8676,0.143833333333333,0.100780667622884,0.140739730834961,-1837748.44091632
