Time_s,Altitude_m,Mach,DynamicPressure_Pa,Velocity_ms,AirDensity_kgm3,AirTemperature_K
0.000811364407420456,9000.00000467531,7.99883598043424,1376860.2438364,2429.9927847379,0.466347751982227,229.64999996961
0.00162278074548655,9000.00001870233,7.99881223000677,1376852.06453094,2429.98556903477,0.466347751194254,229.649999878435
0.00243419708355264,9000.0000420809,7.99878848070628,1376843.88372237,2429.97835335242,0.466347749880953,229.649999726474
0.00324561342161873,9000.0000748109,7.99876473253278,1376835.70141075,2429.97113769086,0.466347748042332,229.649999513729
0.00405702975968482,9000.00011689215,7.99874098548626,1376827.51759613,2429.9639220501,0.466347745678401,229.649999240201
0.00811411145001528,9000.00046756208,7.99862226715836,1376786.57598025,2429.92784415853,0.46634772597938,229.649996960846
0.0121711931403457,9000.00105199103,7.99850357700469,1376745.59679861,2429.89176678801,0.466347693148854,229.649993162058
0.0162282748306762,9000.00187016023,7.99838491502498,1376704.58005882,2429.85568993947,0.466347647187882,229.649987843958
0.0202853565210067,9000.0029220509,7.99826628121894,1376663.52576844,2429.81961361381,0.46634758809752,229.649981006669
0.040570764972659,9000.01168666821,7.99767353478362,1376457.69132368,2429.63923986087,0.466347095742005,229.649924036657
0.0608561734243113,9000.0262914995,7.99708149264641,1376250.91925441,2429.45887931732,0.466346275311261,229.649829105253
0.0811415818759636,9000.04673418642,7.99649015477053,1376043.21051267,2429.27853209742,0.466345126939095,229.649696227788
0.101426990327616,9000.0730123647,7.99589952111874,1375834.56605251,2429.09819831529,0.466343650760171,229.649525419629
0.202854032585877,9000.29185247088,7.99295691488647,1374777.3415052,2428.1967349576,0.466331357537248,229.648102958939
0.304281074844139,9000.65622183192,7.9900319084135,1373696.86824886,2427.29562459865,0.466310889838292,229.645734558092
0.4057081171024,9001.16581831408,7.987124496539,1372593.26776072,2426.39488137606,0.46628226545744,229.642422180958
0.507135159360662,9001.82033616542,7.98423467382051,1371466.66272292,2425.49451935467,0.466245502716792,229.638167814925
0.987785869006185,9006.8831131817,7.97077913980313,1365818.81434737,2421.23341879441,0.465961213250314,229.605259764319
1.46843657865171,9015.15928821421,7.95771777161332,1359670.71135826,2416.98265712858,0.465496767861056,229.551464626608
1.94908728829723,9026.61312899309,7.94504973301637,1353036.4203151,2412.7436622342,0.464854581406694,229.477014661545
2.42973799794275,9041.20726146024,7.93277404638501,1345930.49322159,2408.51782131682,0.46403730936871,229.382152800508
3.08383980390109,9066.04218586604,7.9166967144375,1335529.6714348,2402.79055981531,0.462649079938962,229.220725791871
3.73794160985943,9096.51756640467,7.9013406995387,1324322.18230716,2397.09342508754,0.460949902857749,229.02263581837
4.39204341581777,9132.52575327519,7.8867023122578,1312348.08706096,2391.4295429653,0.458948397781987,228.788582603711
5.04614522177611,9173.95465063846,7.8727774015811,1299648.32469001,2385.80188553965,0.45665381689746,228.51929477085
5.81202476034925,9229.19608320344,7.85737348139596,1283912.01062184,2379.26235496532,0.453607880454388,228.160225459178
6.57790429892238,9291.51565581342,7.84293326328685,1267305.62506442,2372.78063133774,0.450190349447475,227.755148237213
7.34378383749552,9360.71320277077,7.8294478057598,1249897.28062842,2366.36069646093,0.446418755105938,227.30536418199
8.10966337606865,9436.58295656208,7.81690739291415,1231755.09125635,2360.00623583784,0.442311326464709,226.812210782346
8.96967378196382,9529.46826406197,7.80393910414692,1210592.535752,2352.95302871862,0.437322147766334,226.208456283597
9.82968418785898,9630.19446995522,7.79213334468228,1188685.15832696,2345.99107779937,0.431960588040999,225.553735945291
10.6896945937541,9738.45008171748,7.78147315483374,1166126.22858285,2339.12434577693,0.426254464798443,224.850074468836
11.5497049996493,9853.91928817385,7.77194055691713,1143006.7412165,2332.35635343393,0.420231860639454,224.09952462687
12.5001003783528,9989.52980703601,7.76269484840468,1116911.7163293,2324.99564179598,0.413242096384765,223.218056254266
13.4504957570564,10133.1234991896,7.75477613127795,1090355.0180803,2317.7629454878,0.405938171759373,222.284697255268
14.4008911357599,10284.2626793245,7.74815627619033,1063446.51791706,2310.66132783302,0.39835755439293,221.302292584391
15.3512865144634,10442.5095267033,7.74280600524737,1036290.45822794,2303.6932914975,0.390536994584324,220.273688076429
15.8849865696845,10534.326408395,7.74034683515815,1020969.37433087,2299.83968293497,0.386053579817225,219.676878345432
16.4186866249056,10628.1692287611,7.73827292613163,1005617.9859289,2296.02912164641,0.381512036010719,219.066900013053
